Time,Colour_p4_01,Colour_p4_02,Colour_p4_03
1.860,2.000,2.000,2.000,
1.870,2.000,2.000,2.000,
1.880,2.000,2.000,2.000,
1.890,2.000,5.000,2.000,
1.900,2.000,5.000,2.000,
1.910,5.000,5.000,2.000,
1.920,5.000,5.000,2.000,
1.930,5.000,5.000,2.000,
1.940,5.000,5.000,2.000,
1.950,5.000,5.000,2.000,
1.960,5.000,5.000,2.000,
1.970,5.000,5.000,2.000,
1.980,5.000,5.000,4.000,
1.990,5.000,5.000,2.000,
2.000,5.000,5.000,2.000,
2.010,5.000,2.000,2.000,
2.020,5.000,2.000,2.000,
2.030,5.000,2.000,2.000,
2.040,5.000,2.000,2.000,
2.050,5.000,2.000,2.000,
2.060,5.000,2.000,2.000,
2.070,5.000,2.000,2.000,
2.080,5.000,2.000,2.000,
2.090,5.000,2.000,2.000,
2.100,2.000,2.000,4.000,
2.110,2.000,4.000,4.000,
2.120,2.000,4.000,4.000,
2.130,2.000,4.000,4.000,
2.140,2.000,4.000,4.000,
2.150,2.000,4.000,4.000,
2.160,2.000,4.000,4.000,
2.170,2.000,4.000,4.000,
2.180,2.000,4.000,4.000,
2.190,6.000,4.000,4.000,
2.200,4.000,4.000,4.000,
2.210,4.000,4.000,4.000,
2.220,4.000,4.000,4.000,
2.230,4.000,4.000,4.000,
2.240,4.000,4.000,4.000,
2.250,4.000,4.000,4.000,
2.260,4.000,4.000,3.000,
2.270,4.000,3.000,3.000,
2.280,4.000,3.000,3.000,
2.290,4.000,3.000,3.000,
2.300,4.000,3.000,3.000,
2.310,4.000,3.000,3.000,
2.320,4.000,3.000,3.000,
2.330,4.000,3.000,3.000,
2.340,4.000,3.000,3.000,
2.350,4.000,3.000,3.000,
2.360,4.000,3.000,3.000,
2.370,4.000,4.000,3.000,
2.380,4.000,4.000,4.000,
2.390,4.000,4.000,4.000,
2.400,4.000,4.000,4.000,
2.410,4.000,4.000,4.000,
2.420,4.000,4.000,4.000,
2.430,4.000,4.000,4.000,
2.440,4.000,4.000,4.000,
2.450,4.000,4.000,4.000,
2.460,4.000,4.000,4.000,
2.470,4.000,5.000,4.000,
2.480,4.000,5.000,4.000,
2.490,4.000,5.000,4.000,
2.500,4.000,5.000,4.000,
2.510,4.000,5.000,4.000,
2.520,4.000,5.000,5.000,
2.530,4.000,5.000,5.000,
2.540,4.000,5.000,5.000,
2.550,4.000,5.000,5.000,
2.560,4.000,5.000,5.000,
2.570,4.000,5.000,5.000,
2.580,4.000,5.000,5.000,
2.590,4.000,5.000,5.000,
2.600,3.000,2.000,5.000,
2.610,3.000,2.000,2.000,
2.620,3.000,2.000,2.000,
2.630,3.000,2.000,2.000,
2.640,3.000,2.000,2.000,
2.650,3.000,2.000,2.000,
2.660,3.000,2.000,2.000,
2.670,3.000,2.000,2.000,
2.680,3.000,2.000,2.000,
2.690,3.000,2.000,2.000,
2.700,2.000,2.000,2.000,
2.710,2.000,2.000,2.000,
2.720,2.000,2.000,2.000,
2.730,2.000,2.000,2.000,
2.740,2.000,2.000,5.000,
2.750,2.000,5.000,5.000,
2.760,2.000,5.000,5.000,
2.770,2.000,5.000,5.000,
2.780,2.000,5.000,5.000,
2.790,2.000,5.000,5.000,
2.800,2.000,5.000,5.000,
2.810,2.000,5.000,5.000,
2.820,2.000,5.000,5.000,
2.830,2.000,5.000,5.000,
2.840,2.000,5.000,5.000,
2.850,2.000,5.000,5.000,
2.860,2.000,5.000,5.000,
2.870,2.000,5.000,5.000,
2.880,2.000,5.000,5.000,
2.890,2.000,5.000,5.000,
2.900,2.000,5.000,5.000,
2.910,2.000,5.000,5.000,
2.920,2.000,5.000,5.000,
2.930,2.000,5.000,5.000,
2.940,2.000,5.000,5.000,
2.950,2.000,5.000,6.000,
2.960,2.000,5.000,6.000,
2.970,2.000,5.000,6.000,
2.980,2.000,5.000,6.000,
2.990,2.000,5.000,6.000,
3.000,6.000,4.000,6.000,
3.010,6.000,4.000,6.000,
3.020,6.000,4.000,6.000,
3.030,6.000,4.000,6.000,
3.040,6.000,4.000,6.000,
3.050,6.000,6.000,6.000,
3.060,6.000,6.000,6.000,
3.070,6.000,6.000,6.000,
3.080,6.000,6.000,6.000,
3.090,6.000,6.000,6.000,
3.100,6.000,6.000,6.000,
3.110,6.000,6.000,6.000,
3.120,6.000,6.000,6.000,
3.130,6.000,6.000,6.000,
3.140,6.000,6.000,6.000,
3.150,6.000,6.000,6.000,
3.160,6.000,6.000,6.000,
3.170,6.000,6.000,6.000,
3.180,6.000,6.000,6.000,
3.190,6.000,6.000,6.000,
3.200,6.000,6.000,6.000,
3.210,6.000,6.000,6.000,
3.220,6.000,6.000,6.000,
3.230,6.000,6.000,6.000,
3.240,6.000,6.000,6.000,
3.250,6.000,6.000,6.000,
3.260,6.000,6.000,6.000,
3.270,6.000,6.000,6.000,
3.280,6.000,6.000,6.000,
3.290,6.000,6.000,6.000,
3.300,6.000,6.000,6.000,
3.310,6.000,6.000,6.000,
3.320,6.000,6.000,6.000,
3.330,6.000,6.000,6.000,
3.340,6.000,6.000,6.000,
3.350,6.000,6.000,6.000,
3.360,6.000,6.000,6.000,
3.370,6.000,6.000,6.000,
3.380,6.000,6.000,6.000,
3.390,6.000,6.000,6.000,
3.400,6.000,6.000,6.000,
3.410,6.000,6.000,6.000,
3.420,6.000,6.000,6.000,
3.430,6.000,3.000,6.000,
3.440,6.000,1.000,6.000,
3.450,6.000,1.000,6.000,
3.460,6.000,1.000,6.000,
3.470,6.000,1.000,6.000,
3.480,6.000,1.000,6.000,
3.490,6.000,1.000,6.000,
3.500,6.000,1.000,6.000,
3.510,6.000,1.000,6.000,
3.520,6.000,1.000,6.000,
3.530,6.000,0.000,6.000,
3.540,6.000,5.000,6.000,
3.550,6.000,5.000,6.000,
3.560,6.000,5.000,6.000,
3.570,6.000,5.000,6.000,
3.580,6.000,0.000,6.000,
3.590,6.000,1.000,6.000,
3.600,6.000,0.000,6.000,
3.610,6.000,5.000,6.000,
3.620,6.000,0.000,6.000,
3.630,6.000,1.000,6.000,
3.640,6.000,0.000,6.000,
3.650,6.000,1.000,6.000,
3.660,6.000,5.000,6.000,
3.670,6.000,5.000,6.000,
3.680,6.000,5.000,6.000,
3.690,6.000,5.000,6.000,
3.700,6.000,1.000,6.000,
3.710,6.000,0.000,6.000,
3.720,6.000,5.000,6.000,
3.730,6.000,0.000,7.000,
3.740,1.000,1.000,1.000,
3.750,5.000,5.000,1.000,
3.760,5.000,0.000,1.000,
3.770,0.000,5.000,1.000,
3.780,0.000,5.000,1.000,
3.790,0.000,5.000,1.000,
3.800,5.000,1.000,1.000,
3.810,0.000,5.000,0.000,
3.820,5.000,1.000,5.000,
3.830,1.000,0.000,0.000,
3.840,1.000,5.000,5.000,
3.850,0.000,0.000,0.000,
3.860,0.000,1.000,5.000,
3.870,0.000,0.000,5.000,
3.880,5.000,0.000,1.000,
3.890,0.000,0.000,5.000,
3.900,0.000,1.000,1.000,
