Time,Colour_p4_01,Colour_p4_02,Colour_p4_03
0.000,1.000,5.000,0.000,
0.010,1.000,5.000,0.000,
0.020,5.000,5.000,0.000,
0.030,5.000,5.000,0.000,
0.040,5.000,5.000,0.000,
0.050,5.000,5.000,0.000,
0.060,1.000,5.000,0.000,
0.070,5.000,5.000,0.000,
0.080,5.000,1.000,1.000,
0.090,5.000,5.000,0.000,
0.100,5.000,5.000,0.000,
0.110,5.000,5.000,0.000,
0.120,5.000,5.000,0.000,
0.130,1.000,5.000,0.000,
0.140,1.000,5.000,0.000,
0.150,1.000,1.000,0.000,
0.160,1.000,5.000,0.000,
0.170,5.000,1.000,0.000,
0.180,1.000,1.000,0.000,
0.190,5.000,1.000,0.000,
0.200,1.000,1.000,5.000,
0.210,5.000,5.000,0.000,
0.220,1.000,1.000,0.000,
0.230,1.000,1.000,0.000,
0.240,1.000,0.000,0.000,
0.250,1.000,1.000,0.000,
0.260,5.000,1.000,0.000,
0.270,1.000,5.000,0.000,
0.280,5.000,5.000,0.000,
0.290,5.000,1.000,0.000,
0.300,1.000,1.000,0.000,
0.310,5.000,1.000,0.000,
0.320,5.000,1.000,5.000,
0.330,1.000,1.000,0.000,
0.340,5.000,5.000,0.000,
0.350,1.000,1.000,0.000,
0.360,1.000,5.000,0.000,
0.370,1.000,5.000,0.000,
0.380,5.000,5.000,0.000,
0.390,5.000,5.000,0.000,
0.400,1.000,5.000,0.000,
0.410,5.000,1.000,0.000,
0.420,1.000,1.000,0.000,
0.430,1.000,1.000,0.000,
0.440,5.000,5.000,0.000,
0.450,5.000,5.000,0.000,
0.460,5.000,5.000,5.000,
0.470,5.000,1.000,5.000,
0.480,5.000,1.000,0.000,
0.490,5.000,5.000,0.000,
0.500,5.000,1.000,0.000,
0.510,5.000,1.000,0.000,
0.520,1.000,1.000,0.000,
0.530,5.000,1.000,0.000,
0.540,5.000,1.000,0.000,
0.550,5.000,5.000,0.000,
0.560,5.000,5.000,5.000,
0.570,5.000,5.000,5.000,
0.580,5.000,5.000,0.000,
0.590,1.000,5.000,0.000,
0.600,1.000,1.000,0.000,
0.610,5.000,1.000,0.000,
0.620,5.000,1.000,0.000,
0.630,5.000,5.000,0.000,
0.640,5.000,5.000,0.000,
0.650,5.000,5.000,0.000,
0.660,5.000,5.000,0.000,
0.670,5.000,1.000,0.000,
0.680,0.000,1.000,0.000,
0.690,5.000,1.000,0.000,
0.700,1.000,1.000,0.000,
0.710,1.000,1.000,0.000,
0.720,5.000,5.000,0.000,
0.730,5.000,5.000,5.000,
