Time,Colour_p4_01,Colour_p4_02,Colour_p4_03
0.000,1.000,0.000,5.000,
0.010,5.000,5.000,0.000,
0.020,0.000,5.000,5.000,
0.030,0.000,1.000,0.000,
0.040,1.000,0.000,5.000,
0.050,0.000,0.000,0.000,
0.060,0.000,1.000,1.000,
0.070,1.000,0.000,5.000,
0.080,5.000,5.000,0.000,
0.090,1.000,0.000,1.000,
0.100,0.000,5.000,0.000,
0.110,5.000,0.000,5.000,
0.120,1.000,0.000,5.000,
0.130,1.000,5.000,5.000,
0.140,1.000,0.000,1.000,
0.150,0.000,1.000,0.000,
0.160,0.000,1.000,5.000,
0.170,5.000,5.000,5.000,
0.180,5.000,0.000,5.000,
0.190,0.000,1.000,5.000,
0.200,1.000,5.000,1.000,
0.210,1.000,0.000,5.000,
0.220,1.000,0.000,0.000,
0.230,1.000,1.000,0.000,
0.240,5.000,0.000,0.000,
0.250,5.000,1.000,0.000,
0.260,1.000,1.000,1.000,
0.270,5.000,1.000,0.000,
0.280,0.000,0.000,1.000,
0.290,1.000,5.000,1.000,
0.300,1.000,0.000,1.000,
0.310,5.000,5.000,0.000,
0.320,5.000,0.000,5.000,
0.330,1.000,5.000,0.000,
0.340,0.000,1.000,0.000,
0.350,1.000,5.000,0.000,
0.360,5.000,5.000,5.000,
0.370,1.000,5.000,5.000,
0.380,5.000,0.000,5.000,
0.390,5.000,0.000,1.000,
0.400,5.000,5.000,1.000,
0.410,1.000,5.000,5.000,
0.420,0.000,0.000,0.000,
0.430,1.000,1.000,1.000,
0.440,0.000,5.000,5.000,
0.450,5.000,0.000,1.000,
0.460,5.000,5.000,5.000,
0.470,1.000,5.000,5.000,
0.480,1.000,5.000,0.000,
0.490,5.000,5.000,5.000,
0.500,5.000,1.000,1.000,
0.510,5.000,1.000,1.000,
0.520,1.000,5.000,1.000,
0.530,1.000,5.000,5.000,
0.540,1.000,1.000,1.000,
0.550,5.000,1.000,1.000,
0.560,5.000,1.000,1.000,
0.570,5.000,1.000,1.000,
0.580,1.000,1.000,1.000,
0.590,1.000,1.000,1.000,
0.600,1.000,1.000,1.000,
0.610,1.000,1.000,1.000,
0.620,1.000,1.000,1.000,
0.630,1.000,1.000,1.000,
0.640,1.000,1.000,1.000,
0.650,1.000,1.000,1.000,
