Time,Colour_p4_01,Colour_p4_02,Colour_p4_03
0.000,5.000,5.000,0.000,
0.010,1.000,5.000,1.000,
0.020,0.000,5.000,5.000,
0.030,1.000,5.000,5.000,
0.040,1.000,1.000,5.000,
0.050,0.000,0.000,5.000,
0.060,1.000,0.000,1.000,
0.070,0.000,1.000,5.000,
0.080,0.000,1.000,5.000,
0.090,0.000,1.000,0.000,
0.100,1.000,0.000,1.000,
0.110,1.000,1.000,0.000,
0.120,1.000,1.000,5.000,
0.130,1.000,1.000,0.000,
0.140,1.000,1.000,0.000,
0.150,1.000,0.000,5.000,
0.160,1.000,1.000,1.000,
0.170,0.000,0.000,1.000,
0.180,0.000,1.000,1.000,
0.190,1.000,5.000,5.000,
0.200,5.000,1.000,5.000,
0.210,1.000,1.000,5.000,
0.220,1.000,1.000,1.000,
0.230,1.000,5.000,1.000,
0.240,1.000,1.000,1.000,
0.250,1.000,1.000,1.000,
0.260,1.000,1.000,1.000,
0.270,1.000,1.000,1.000,
0.280,1.000,1.000,1.000,
0.290,1.000,1.000,1.000,
0.300,1.000,1.000,1.000,
0.310,1.000,1.000,1.000,
0.320,1.000,1.000,1.000,
0.330,6.000,1.000,1.000,
0.340,6.000,1.000,1.000,
0.350,6.000,1.000,6.000,
0.360,6.000,6.000,6.000,
0.370,6.000,6.000,6.000,
0.380,6.000,6.000,6.000,
0.390,6.000,6.000,6.000,
0.400,6.000,6.000,6.000,
0.410,6.000,6.000,6.000,
0.420,6.000,6.000,6.000,
0.430,6.000,6.000,6.000,
0.440,6.000,6.000,6.000,
0.450,6.000,6.000,6.000,
0.460,6.000,6.000,6.000,
0.470,6.000,6.000,6.000,
0.480,6.000,6.000,6.000,
0.490,6.000,6.000,6.000,
0.500,6.000,6.000,6.000,
0.510,6.000,6.000,6.000,
0.520,6.000,6.000,6.000,
0.530,6.000,6.000,6.000,
0.540,6.000,6.000,6.000,
0.550,6.000,6.000,6.000,
0.560,6.000,6.000,6.000,
0.570,6.000,6.000,6.000,
0.580,6.000,6.000,6.000,
0.590,6.000,6.000,6.000,
0.600,6.000,6.000,6.000,
0.610,6.000,6.000,6.000,
0.620,6.000,6.000,6.000,
0.630,6.000,6.000,6.000,
0.640,6.000,6.000,6.000,
0.650,6.000,6.000,6.000,
0.660,6.000,6.000,6.000,
0.670,6.000,6.000,6.000,
0.680,6.000,6.000,6.000,
0.690,6.000,6.000,6.000,
0.700,4.000,6.000,6.000,
0.710,4.000,6.000,6.000,
0.720,4.000,6.000,6.000,
0.730,4.000,6.000,6.000,
0.740,4.000,6.000,6.000,
0.750,4.000,6.000,6.000,
0.760,4.000,6.000,6.000,
0.770,4.000,6.000,6.000,
0.780,4.000,6.000,3.000,
0.790,4.000,6.000,3.000,
0.800,3.000,6.000,3.000,
0.810,3.000,6.000,3.000,
0.820,3.000,6.000,3.000,
0.830,3.000,6.000,3.000,
0.840,3.000,6.000,3.000,
0.850,3.000,6.000,3.000,
0.860,3.000,6.000,3.000,
0.870,3.000,6.000,3.000,
0.880,3.000,6.000,3.000,
0.890,3.000,6.000,3.000,
0.900,3.000,6.000,3.000,
0.910,3.000,6.000,3.000,
0.920,2.000,6.000,3.000,
0.930,2.000,6.000,3.000,
0.940,2.000,6.000,3.000,
0.950,2.000,6.000,3.000,
0.960,2.000,6.000,3.000,
0.970,2.000,6.000,3.000,
0.980,2.000,6.000,3.000,
0.990,2.000,6.000,3.000,
1.000,2.000,6.000,3.000,
1.010,2.000,6.000,3.000,
1.020,2.000,6.000,3.000,
1.030,2.000,6.000,3.000,
1.040,2.000,6.000,3.000,
1.050,2.000,6.000,3.000,
1.060,2.000,6.000,3.000,
1.070,2.000,2.000,3.000,
1.080,2.000,2.000,3.000,
1.090,2.000,2.000,3.000,
1.100,2.000,2.000,3.000,
1.110,2.000,2.000,3.000,
1.120,2.000,2.000,3.000,
1.130,5.000,2.000,4.000,
1.140,5.000,2.000,4.000,
1.150,5.000,2.000,5.000,
1.160,5.000,2.000,5.000,
1.170,5.000,2.000,5.000,
1.180,5.000,2.000,5.000,
1.190,2.000,3.000,5.000,
1.200,2.000,2.000,5.000,
1.210,2.000,2.000,5.000,
1.220,2.000,2.000,5.000,
1.230,2.000,2.000,5.000,
1.240,2.000,2.000,2.000,
1.250,2.000,2.000,2.000,
1.260,2.000,2.000,2.000,
1.270,2.000,2.000,2.000,
1.280,2.000,2.000,2.000,
1.290,2.000,2.000,2.000,
1.300,2.000,2.000,2.000,
1.310,2.000,2.000,2.000,
1.320,2.000,2.000,2.000,
1.330,2.000,2.000,2.000,
1.340,2.000,2.000,2.000,
1.350,2.000,2.000,2.000,
1.360,2.000,2.000,2.000,
1.370,2.000,2.000,2.000,
1.380,2.000,2.000,2.000,
1.390,2.000,2.000,2.000,
1.400,2.000,2.000,2.000,
1.410,2.000,2.000,2.000,
1.420,4.000,2.000,2.000,
1.430,4.000,2.000,2.000,
1.440,4.000,2.000,2.000,
1.450,4.000,2.000,2.000,
1.460,4.000,4.000,2.000,
1.470,4.000,4.000,2.000,
1.480,4.000,4.000,2.000,
1.490,4.000,4.000,2.000,
1.500,4.000,4.000,2.000,
1.510,3.000,4.000,2.000,
1.520,3.000,4.000,2.000,
1.530,3.000,4.000,2.000,
1.540,3.000,4.000,2.000,
1.550,3.000,4.000,2.000,
1.560,3.000,4.000,2.000,
1.570,3.000,4.000,2.000,
1.580,4.000,4.000,2.000,
1.590,4.000,4.000,4.000,
1.600,4.000,4.000,4.000,
1.610,4.000,4.000,4.000,
1.620,4.000,4.000,4.000,
1.630,4.000,4.000,4.000,
1.640,4.000,4.000,4.000,
1.650,4.000,4.000,4.000,
1.660,4.000,4.000,4.000,
1.670,4.000,4.000,4.000,
1.680,4.000,4.000,4.000,
1.690,4.000,4.000,4.000,
1.700,5.000,4.000,4.000,
1.710,5.000,4.000,4.000,
1.720,5.000,4.000,4.000,
1.730,5.000,4.000,4.000,
1.740,5.000,4.000,4.000,
1.750,5.000,2.000,4.000,
1.760,5.000,2.000,4.000,
1.770,5.000,2.000,2.000,
1.780,5.000,2.000,2.000,
1.790,5.000,2.000,2.000,
1.800,2.000,2.000,2.000,
1.810,2.000,2.000,2.000,
1.820,2.000,2.000,2.000,
1.830,2.000,2.000,2.000,
1.840,2.000,2.000,2.000,
1.850,2.000,2.000,2.000,
1.860,5.000,2.000,2.000,
1.870,5.000,5.000,2.000,
1.880,5.000,5.000,5.000,
1.890,5.000,5.000,5.000,
1.900,5.000,5.000,5.000,
1.910,5.000,5.000,5.000,
1.920,5.000,5.000,5.000,
1.930,5.000,5.000,5.000,
1.940,5.000,5.000,5.000,
1.950,5.000,5.000,5.000,
1.960,5.000,5.000,5.000,
1.970,5.000,5.000,5.000,
1.980,5.000,5.000,5.000,
1.990,5.000,5.000,5.000,
2.000,5.000,5.000,5.000,
2.010,5.000,5.000,5.000,
2.020,5.000,6.000,5.000,
2.030,5.000,6.000,5.000,
2.040,5.000,6.000,5.000,
2.050,6.000,6.000,5.000,
2.060,6.000,6.000,5.000,
2.070,6.000,6.000,5.000,
2.080,6.000,6.000,5.000,
2.090,6.000,6.000,5.000,
2.100,6.000,6.000,5.000,
2.110,6.000,6.000,5.000,
2.120,6.000,6.000,5.000,
2.130,6.000,6.000,6.000,
2.140,6.000,6.000,6.000,
2.150,6.000,6.000,6.000,
2.160,6.000,6.000,6.000,
2.170,6.000,6.000,6.000,
2.180,6.000,6.000,6.000,
2.190,6.000,6.000,6.000,
2.200,6.000,6.000,6.000,
2.210,6.000,6.000,6.000,
2.220,6.000,6.000,6.000,
