Time,Colour_p4_01,Colour_p4_02,Colour_p4_03,Colour_p4_04
1.500,1.000,5.000,1.000,1.000,
1.510,1.000,5.000,1.000,1.000,
1.520,1.000,5.000,2.000,1.000,
1.530,1.000,5.000,2.000,1.000,
1.540,1.000,5.000,2.000,1.000,
1.550,1.000,5.000,2.000,2.000,
1.560,1.000,5.000,2.000,2.000,
1.570,1.000,5.000,2.000,2.000,
1.580,1.000,5.000,2.000,2.000,
1.590,1.000,5.000,2.000,2.000,
1.600,1.000,5.000,2.000,2.000,
1.610,1.000,5.000,2.000,2.000,
1.620,1.000,5.000,2.000,2.000,
1.630,1.000,5.000,6.000,2.000,
1.640,1.000,5.000,6.000,2.000,
1.650,1.000,5.000,6.000,2.000,
1.660,1.000,5.000,6.000,2.000,
1.670,1.000,5.000,6.000,2.000,
1.680,1.000,5.000,6.000,2.000,
1.690,1.000,5.000,6.000,2.000,
1.700,1.000,5.000,6.000,2.000,
1.710,1.000,5.000,6.000,2.000,
1.720,1.000,5.000,6.000,6.000,
1.730,1.000,5.000,6.000,6.000,
1.740,1.000,5.000,6.000,6.000,
1.750,1.000,5.000,6.000,6.000,
1.760,1.000,5.000,6.000,6.000,
1.770,1.000,1.000,6.000,6.000,
1.780,4.000,5.000,6.000,6.000,
1.790,4.000,5.000,6.000,6.000,
1.800,4.000,5.000,6.000,6.000,
1.810,4.000,5.000,6.000,6.000,
1.820,6.000,5.000,6.000,6.000,
1.830,6.000,5.000,6.000,6.000,
1.840,6.000,5.000,6.000,6.000,
1.850,6.000,5.000,6.000,6.000,
1.860,6.000,5.000,6.000,6.000,
1.870,6.000,5.000,6.000,6.000,
1.880,6.000,1.000,6.000,6.000,
1.890,6.000,0.000,6.000,6.000,
1.900,6.000,5.000,6.000,6.000,
1.910,6.000,5.000,6.000,6.000,
1.920,6.000,5.000,6.000,6.000,
1.930,6.000,5.000,6.000,6.000,
1.940,6.000,5.000,6.000,6.000,
1.950,6.000,0.000,6.000,6.000,
1.960,6.000,5.000,6.000,6.000,
1.970,6.000,1.000,6.000,6.000,
1.980,6.000,1.000,6.000,6.000,
1.990,6.000,1.000,6.000,6.000,
2.000,6.000,5.000,6.000,6.000,
2.010,6.000,5.000,6.000,6.000,
2.020,6.000,1.000,6.000,6.000,
2.030,6.000,1.000,6.000,6.000,
2.040,6.000,1.000,6.000,6.000,
2.050,6.000,5.000,6.000,6.000,
2.060,6.000,1.000,6.000,6.000,
2.070,6.000,1.000,6.000,6.000,
2.080,6.000,1.000,6.000,6.000,
2.090,6.000,1.000,6.000,6.000,
2.100,6.000,5.000,6.000,6.000,
2.110,6.000,1.000,6.000,6.000,
2.120,6.000,5.000,6.000,6.000,
2.130,6.000,5.000,6.000,6.000,
2.140,6.000,5.000,6.000,6.000,
2.150,6.000,1.000,6.000,6.000,
2.160,6.000,1.000,6.000,6.000,
2.170,6.000,1.000,6.000,6.000,
2.180,6.000,5.000,6.000,6.000,
2.190,6.000,5.000,6.000,6.000,
2.200,6.000,1.000,6.000,6.000,
2.210,6.000,1.000,6.000,6.000,
2.220,6.000,5.000,6.000,6.000,
2.230,6.000,5.000,6.000,6.000,
2.240,6.000,5.000,6.000,6.000,
2.250,6.000,1.000,6.000,6.000,
2.260,6.000,5.000,6.000,6.000,
2.270,6.000,5.000,6.000,6.000,
2.280,6.000,1.000,6.000,6.000,
2.290,6.000,1.000,6.000,6.000,
2.300,6.000,1.000,6.000,6.000,
2.310,6.000,5.000,6.000,6.000,
2.320,6.000,5.000,6.000,6.000,
2.330,6.000,5.000,6.000,6.000,
2.340,6.000,1.000,6.000,6.000,
2.350,6.000,1.000,6.000,6.000,
2.360,6.000,1.000,6.000,6.000,
2.370,6.000,1.000,6.000,6.000,
2.380,6.000,1.000,6.000,6.000,
2.390,6.000,1.000,6.000,6.000,
2.400,6.000,1.000,6.000,6.000,
2.410,6.000,1.000,6.000,6.000,
2.420,6.000,1.000,6.000,6.000,
2.430,6.000,1.000,6.000,6.000,
2.440,6.000,1.000,6.000,6.000,
2.450,6.000,1.000,6.000,6.000,
2.460,6.000,1.000,6.000,6.000,
2.470,6.000,1.000,6.000,6.000,
2.480,6.000,1.000,6.000,6.000,
2.490,6.000,1.000,6.000,6.000,
2.500,6.000,1.000,6.000,6.000,
2.510,6.000,1.000,6.000,6.000,
2.520,6.000,1.000,6.000,6.000,
2.530,6.000,1.000,6.000,6.000,
2.540,6.000,1.000,6.000,6.000,
2.550,6.000,1.000,6.000,6.000,
2.560,6.000,1.000,6.000,6.000,
2.570,6.000,1.000,6.000,6.000,
2.580,6.000,1.000,6.000,6.000,
2.590,6.000,1.000,6.000,6.000,
2.600,6.000,1.000,6.000,6.000,
2.610,6.000,1.000,6.000,6.000,
2.620,6.000,1.000,6.000,6.000,
2.630,6.000,1.000,6.000,6.000,
2.640,6.000,1.000,6.000,6.000,
2.650,6.000,1.000,6.000,6.000,
2.660,6.000,1.000,6.000,6.000,
2.670,6.000,1.000,6.000,6.000,
2.680,6.000,1.000,6.000,6.000,
2.690,6.000,2.000,6.000,6.000,
2.700,6.000,2.000,6.000,6.000,
2.710,6.000,2.000,6.000,6.000,
2.720,6.000,2.000,6.000,6.000,
2.730,6.000,2.000,6.000,6.000,
2.740,6.000,2.000,6.000,6.000,
2.750,6.000,2.000,6.000,6.000,
2.760,6.000,2.000,6.000,6.000,
2.770,6.000,2.000,6.000,6.000,
2.780,6.000,2.000,6.000,6.000,
2.790,6.000,6.000,6.000,6.000,
2.800,6.000,6.000,6.000,6.000,
2.810,6.000,6.000,6.000,6.000,
2.820,6.000,6.000,6.000,6.000,
2.830,6.000,6.000,6.000,6.000,
2.840,6.000,6.000,6.000,6.000,
2.850,6.000,6.000,6.000,6.000,
2.860,6.000,6.000,6.000,6.000,
2.870,6.000,6.000,6.000,6.000,
2.880,6.000,6.000,6.000,6.000,
2.890,6.000,6.000,6.000,6.000,
2.900,6.000,6.000,6.000,6.000,
2.910,6.000,6.000,6.000,6.000,
2.920,6.000,6.000,6.000,6.000,
2.930,6.000,6.000,6.000,6.000,
2.940,6.000,6.000,6.000,6.000,
2.950,6.000,6.000,6.000,6.000,
2.960,6.000,6.000,6.000,6.000,
2.970,6.000,6.000,6.000,6.000,
2.980,6.000,6.000,6.000,6.000,
2.990,6.000,6.000,6.000,6.000,
3.000,6.000,6.000,6.000,6.000,
3.010,6.000,6.000,6.000,6.000,
3.020,6.000,6.000,6.000,6.000,
3.030,6.000,6.000,6.000,6.000,
3.040,6.000,6.000,6.000,6.000,
