Time,Colour_p4_01,Colour_p4_02,Colour_p4_03,Colour_p4_04
6.550,5.000,2.000,4.000,5.000,
6.560,5.000,2.000,4.000,5.000,
6.570,5.000,2.000,4.000,5.000,
6.580,5.000,2.000,4.000,5.000,
6.590,5.000,2.000,4.000,5.000,
6.600,5.000,2.000,5.000,5.000,
6.610,5.000,2.000,5.000,5.000,
6.620,5.000,2.000,5.000,5.000,
6.630,5.000,2.000,5.000,5.000,
6.640,5.000,2.000,5.000,5.000,
6.650,5.000,2.000,5.000,5.000,
6.660,5.000,2.000,5.000,5.000,
6.670,5.000,2.000,5.000,5.000,
6.680,5.000,2.000,5.000,5.000,
6.690,5.000,2.000,5.000,5.000,
6.700,5.000,2.000,5.000,5.000,
6.710,5.000,2.000,5.000,5.000,
6.720,5.000,2.000,5.000,5.000,
6.730,5.000,2.000,5.000,5.000,
6.740,5.000,2.000,5.000,5.000,
6.750,5.000,2.000,5.000,5.000,
6.760,5.000,2.000,5.000,5.000,
6.770,5.000,2.000,5.000,5.000,
6.780,5.000,2.000,5.000,5.000,
6.790,5.000,2.000,5.000,5.000,
6.800,5.000,2.000,5.000,5.000,
6.810,5.000,2.000,5.000,5.000,
6.820,5.000,4.000,5.000,5.000,
6.830,5.000,4.000,5.000,5.000,
6.840,5.000,4.000,5.000,5.000,
6.850,5.000,4.000,5.000,5.000,
6.860,5.000,4.000,5.000,5.000,
6.870,5.000,4.000,5.000,5.000,
6.880,5.000,4.000,5.000,5.000,
6.890,5.000,4.000,5.000,5.000,
6.900,5.000,4.000,5.000,5.000,
6.910,5.000,4.000,5.000,5.000,
6.920,5.000,4.000,5.000,5.000,
6.930,5.000,4.000,5.000,5.000,
6.940,5.000,4.000,5.000,5.000,
6.950,5.000,4.000,5.000,5.000,
6.960,5.000,4.000,5.000,5.000,
6.970,5.000,4.000,5.000,5.000,
6.980,5.000,4.000,5.000,5.000,
6.990,5.000,4.000,5.000,5.000,
7.000,5.000,4.000,5.000,5.000,
7.010,5.000,4.000,5.000,5.000,
7.020,5.000,4.000,5.000,5.000,
7.030,5.000,4.000,5.000,5.000,
7.040,5.000,4.000,5.000,5.000,
7.050,5.000,4.000,5.000,5.000,
7.060,5.000,4.000,5.000,5.000,
7.070,5.000,4.000,5.000,5.000,
7.080,5.000,4.000,5.000,5.000,
7.090,5.000,4.000,5.000,5.000,
7.100,5.000,4.000,5.000,5.000,
7.110,5.000,4.000,5.000,5.000,
7.120,5.000,4.000,5.000,5.000,
7.130,5.000,4.000,5.000,5.000,
7.140,5.000,4.000,5.000,5.000,
7.150,5.000,4.000,5.000,5.000,
7.160,5.000,4.000,5.000,5.000,
7.170,5.000,4.000,5.000,5.000,
7.180,5.000,4.000,5.000,5.000,
7.190,5.000,4.000,5.000,5.000,
7.200,5.000,4.000,5.000,5.000,
7.210,5.000,4.000,5.000,5.000,
7.220,5.000,4.000,5.000,5.000,
7.230,5.000,4.000,5.000,5.000,
7.240,5.000,4.000,5.000,5.000,
7.250,5.000,4.000,5.000,5.000,
7.260,5.000,4.000,5.000,5.000,
7.270,5.000,4.000,5.000,5.000,
7.280,5.000,4.000,5.000,5.000,
7.290,5.000,4.000,5.000,5.000,
7.300,7.000,4.000,5.000,7.000,
7.310,7.000,4.000,5.000,7.000,
7.320,7.000,4.000,5.000,7.000,
7.330,7.000,4.000,5.000,7.000,
7.340,7.000,4.000,5.000,7.000,
7.350,7.000,4.000,7.000,7.000,
7.360,7.000,4.000,7.000,7.000,
7.370,7.000,4.000,7.000,3.000,
7.380,7.000,4.000,7.000,3.000,
7.390,7.000,4.000,7.000,3.000,
7.400,7.000,4.000,7.000,3.000,
7.410,7.000,4.000,7.000,3.000,
7.420,7.000,4.000,7.000,3.000,
7.430,7.000,4.000,3.000,3.000,
7.440,7.000,4.000,3.000,3.000,
7.450,7.000,4.000,3.000,3.000,
7.460,7.000,4.000,3.000,3.000,
7.470,7.000,4.000,3.000,3.000,
7.480,7.000,4.000,3.000,3.000,
7.490,7.000,4.000,3.000,3.000,
7.500,7.000,4.000,3.000,3.000,
7.510,7.000,4.000,3.000,3.000,
7.520,7.000,4.000,3.000,3.000,
7.530,7.000,4.000,3.000,3.000,
7.540,7.000,4.000,3.000,3.000,
7.550,7.000,4.000,3.000,3.000,
7.560,7.000,4.000,3.000,3.000,
7.570,3.000,4.000,3.000,3.000,
7.580,3.000,4.000,3.000,3.000,
7.590,3.000,4.000,3.000,3.000,
7.600,3.000,4.000,3.000,3.000,
7.610,3.000,5.000,3.000,3.000,
7.620,3.000,5.000,3.000,3.000,
7.630,3.000,5.000,3.000,3.000,
7.640,3.000,5.000,3.000,3.000,
7.650,3.000,5.000,3.000,3.000,
7.660,3.000,5.000,3.000,3.000,
7.670,3.000,5.000,3.000,3.000,
7.680,3.000,5.000,3.000,3.000,
7.690,3.000,5.000,3.000,3.000,
7.700,3.000,5.000,3.000,3.000,
7.710,3.000,5.000,3.000,3.000,
7.720,3.000,5.000,3.000,3.000,
7.730,3.000,5.000,3.000,3.000,
7.740,3.000,5.000,3.000,3.000,
7.750,3.000,5.000,3.000,3.000,
7.760,3.000,5.000,3.000,3.000,
7.770,3.000,5.000,3.000,3.000,
7.780,3.000,5.000,3.000,3.000,
7.790,3.000,5.000,3.000,3.000,
7.800,3.000,5.000,3.000,3.000,
7.810,3.000,5.000,3.000,3.000,
7.820,3.000,5.000,3.000,3.000,
7.830,3.000,5.000,3.000,3.000,
7.840,3.000,5.000,3.000,3.000,
7.850,3.000,5.000,3.000,3.000,
7.860,3.000,5.000,3.000,3.000,
7.870,3.000,5.000,3.000,3.000,
7.880,3.000,5.000,3.000,3.000,
7.890,3.000,5.000,3.000,3.000,
7.900,3.000,5.000,3.000,3.000,
7.910,3.000,5.000,3.000,3.000,
7.920,3.000,5.000,3.000,3.000,
7.930,3.000,5.000,3.000,3.000,
7.940,3.000,5.000,3.000,3.000,
7.950,3.000,5.000,3.000,3.000,
7.960,3.000,5.000,3.000,3.000,
7.970,3.000,5.000,3.000,3.000,
7.980,3.000,5.000,3.000,3.000,
7.990,3.000,5.000,3.000,3.000,
8.000,3.000,5.000,2.000,3.000,
8.010,3.000,5.000,2.000,3.000,
8.020,3.000,5.000,2.000,3.000,
8.030,3.000,5.000,2.000,3.000,
8.040,3.000,5.000,2.000,3.000,
8.050,3.000,5.000,2.000,3.000,
8.060,3.000,5.000,2.000,3.000,
8.070,3.000,5.000,2.000,3.000,
8.080,3.000,5.000,2.000,3.000,
8.090,3.000,5.000,2.000,3.000,
8.100,3.000,5.000,2.000,3.000,
8.110,3.000,5.000,2.000,3.000,
8.120,3.000,5.000,2.000,2.000,
8.130,3.000,5.000,2.000,2.000,
8.140,3.000,5.000,2.000,2.000,
8.150,3.000,5.000,2.000,2.000,
8.160,3.000,5.000,2.000,2.000,
8.170,3.000,5.000,2.000,2.000,
8.180,3.000,5.000,2.000,2.000,
8.190,3.000,5.000,2.000,2.000,
8.200,3.000,5.000,2.000,2.000,
8.210,3.000,5.000,2.000,2.000,
8.220,3.000,5.000,2.000,2.000,
8.230,3.000,5.000,2.000,2.000,
8.240,3.000,5.000,2.000,2.000,
8.250,3.000,5.000,2.000,2.000,
8.260,3.000,5.000,2.000,2.000,
8.270,3.000,5.000,2.000,2.000,
8.280,3.000,5.000,2.000,2.000,
8.290,2.000,5.000,2.000,2.000,
8.300,2.000,5.000,2.000,2.000,
8.310,2.000,5.000,2.000,2.000,
8.320,2.000,5.000,2.000,2.000,
8.330,2.000,5.000,2.000,2.000,
8.340,2.000,5.000,2.000,2.000,
8.350,2.000,5.000,2.000,2.000,
8.360,2.000,5.000,2.000,2.000,
8.370,2.000,5.000,2.000,2.000,
8.380,2.000,5.000,2.000,2.000,
8.390,2.000,4.000,2.000,2.000,
8.400,2.000,7.000,2.000,2.000,
8.410,2.000,7.000,2.000,2.000,
8.420,2.000,7.000,2.000,2.000,
8.430,2.000,7.000,2.000,2.000,
8.440,2.000,7.000,2.000,2.000,
8.450,2.000,7.000,2.000,2.000,
8.460,2.000,7.000,2.000,2.000,
8.470,2.000,7.000,2.000,2.000,
8.480,2.000,7.000,2.000,2.000,
8.490,2.000,7.000,2.000,2.000,
8.500,2.000,7.000,2.000,2.000,
8.510,2.000,7.000,2.000,2.000,
8.520,2.000,7.000,2.000,2.000,
8.530,2.000,7.000,2.000,2.000,
8.540,2.000,7.000,2.000,2.000,
8.550,2.000,7.000,2.000,2.000,
8.560,2.000,7.000,2.000,2.000,
8.570,2.000,7.000,2.000,2.000,
8.580,2.000,3.000,2.000,2.000,
8.590,2.000,3.000,2.000,2.000,
8.600,2.000,3.000,2.000,2.000,
8.610,2.000,3.000,2.000,2.000,
8.620,2.000,3.000,2.000,2.000,
8.630,2.000,3.000,2.000,2.000,
8.640,2.000,3.000,2.000,2.000,
8.650,2.000,3.000,2.000,2.000,
8.660,2.000,3.000,2.000,2.000,
8.670,2.000,3.000,2.000,2.000,
8.680,2.000,3.000,2.000,2.000,
8.690,2.000,3.000,2.000,2.000,
8.700,2.000,3.000,2.000,2.000,
8.710,2.000,3.000,2.000,2.000,
8.720,2.000,3.000,2.000,2.000,
8.730,2.000,3.000,2.000,2.000,
8.740,2.000,3.000,2.000,2.000,
8.750,2.000,3.000,2.000,2.000,
8.760,2.000,3.000,2.000,2.000,
8.770,2.000,3.000,2.000,2.000,
8.780,2.000,3.000,2.000,2.000,
8.790,2.000,3.000,2.000,2.000,
8.800,2.000,3.000,2.000,2.000,
8.810,2.000,3.000,2.000,2.000,
8.820,2.000,3.000,2.000,2.000,
8.830,2.000,3.000,2.000,2.000,
8.840,2.000,3.000,2.000,2.000,
8.850,2.000,3.000,2.000,2.000,
8.860,2.000,3.000,2.000,2.000,
8.870,2.000,3.000,2.000,2.000,
8.880,2.000,3.000,2.000,2.000,
8.890,2.000,3.000,2.000,2.000,
8.900,2.000,3.000,2.000,2.000,
8.910,2.000,3.000,2.000,2.000,
8.920,2.000,3.000,2.000,2.000,
8.930,2.000,3.000,2.000,2.000,
8.940,2.000,3.000,2.000,2.000,
8.950,2.000,3.000,2.000,2.000,
8.960,2.000,3.000,2.000,2.000,
8.970,2.000,3.000,2.000,2.000,
8.980,2.000,3.000,2.000,2.000,
8.990,2.000,3.000,2.000,2.000,
9.000,2.000,3.000,2.000,2.000,
9.010,2.000,3.000,2.000,2.000,
9.020,2.000,3.000,2.000,2.000,
9.030,2.000,3.000,2.000,2.000,
9.040,2.000,3.000,2.000,2.000,
9.050,2.000,3.000,2.000,2.000,
9.060,2.000,3.000,2.000,2.000,
9.070,2.000,3.000,2.000,2.000,
9.080,2.000,3.000,2.000,2.000,
9.090,2.000,3.000,2.000,2.000,
9.100,2.000,3.000,2.000,2.000,
9.110,2.000,3.000,2.000,2.000,
9.120,2.000,3.000,2.000,2.000,
9.130,2.000,3.000,2.000,2.000,
9.140,2.000,3.000,2.000,2.000,
9.150,2.000,3.000,2.000,2.000,
9.160,2.000,3.000,2.000,2.000,
9.170,2.000,3.000,2.000,2.000,
9.180,2.000,3.000,6.000,2.000,
9.190,2.000,3.000,6.000,4.000,
9.200,2.000,2.000,6.000,4.000,
9.210,2.000,2.000,6.000,4.000,
9.220,2.000,2.000,6.000,4.000,
9.230,2.000,2.000,4.000,4.000,
9.240,2.000,2.000,4.000,4.000,
9.250,2.000,2.000,4.000,4.000,
9.260,2.000,2.000,4.000,4.000,
9.270,2.000,2.000,4.000,4.000,
9.280,2.000,2.000,4.000,4.000,
9.290,2.000,2.000,4.000,4.000,
9.300,2.000,2.000,4.000,4.000,
9.310,2.000,2.000,4.000,4.000,
9.320,2.000,2.000,4.000,4.000,
9.330,2.000,2.000,4.000,4.000,
9.340,2.000,2.000,4.000,4.000,
9.350,2.000,2.000,4.000,4.000,
9.360,2.000,2.000,4.000,4.000,
9.370,2.000,2.000,4.000,4.000,
9.380,2.000,2.000,4.000,4.000,
9.390,2.000,2.000,4.000,4.000,
9.400,2.000,2.000,4.000,4.000,
9.410,2.000,2.000,4.000,4.000,
9.420,4.000,2.000,4.000,4.000,
9.430,4.000,2.000,4.000,4.000,
9.440,4.000,2.000,4.000,4.000,
9.450,4.000,2.000,4.000,4.000,
9.460,4.000,2.000,4.000,4.000,
9.470,4.000,2.000,4.000,4.000,
9.480,4.000,2.000,4.000,4.000,
9.490,4.000,2.000,4.000,4.000,
9.500,4.000,2.000,4.000,4.000,
9.510,4.000,2.000,4.000,4.000,
9.520,4.000,2.000,4.000,4.000,
9.530,4.000,2.000,4.000,4.000,
9.540,4.000,2.000,4.000,4.000,
9.550,4.000,2.000,4.000,4.000,
9.560,4.000,2.000,4.000,4.000,
9.570,4.000,2.000,4.000,4.000,
9.580,4.000,2.000,4.000,4.000,
9.590,4.000,2.000,4.000,4.000,
9.600,4.000,2.000,4.000,4.000,
9.610,4.000,2.000,4.000,4.000,
9.620,4.000,2.000,4.000,4.000,
9.630,4.000,2.000,4.000,4.000,
9.640,4.000,2.000,4.000,4.000,
9.650,4.000,2.000,4.000,4.000,
9.660,4.000,2.000,4.000,4.000,
9.670,4.000,2.000,4.000,4.000,
9.680,4.000,2.000,4.000,4.000,
9.690,4.000,2.000,4.000,4.000,
9.700,4.000,2.000,4.000,4.000,
9.710,4.000,2.000,4.000,4.000,
9.720,4.000,2.000,4.000,4.000,
9.730,4.000,2.000,4.000,4.000,
9.740,4.000,2.000,4.000,4.000,
9.750,4.000,2.000,4.000,4.000,
9.760,4.000,2.000,4.000,4.000,
9.770,4.000,2.000,4.000,4.000,
9.780,4.000,2.000,4.000,4.000,
9.790,4.000,2.000,4.000,4.000,
9.800,4.000,2.000,4.000,4.000,
9.810,4.000,2.000,4.000,4.000,
9.820,4.000,2.000,4.000,4.000,
9.830,4.000,2.000,4.000,4.000,
9.840,4.000,2.000,4.000,4.000,
9.850,4.000,2.000,4.000,4.000,
9.860,4.000,2.000,4.000,4.000,
9.870,4.000,2.000,4.000,4.000,
9.880,4.000,2.000,4.000,4.000,
9.890,4.000,2.000,4.000,4.000,
9.900,4.000,2.000,4.000,4.000,
9.910,4.000,2.000,4.000,4.000,
9.920,4.000,2.000,4.000,4.000,
9.930,4.000,2.000,4.000,4.000,
9.940,4.000,2.000,4.000,4.000,
9.950,4.000,2.000,4.000,4.000,
9.960,4.000,2.000,4.000,4.000,
9.970,4.000,2.000,4.000,4.000,
9.980,4.000,2.000,4.000,4.000,
9.990,4.000,2.000,4.000,4.000,
10.000,4.000,2.000,4.000,4.000,
10.010,4.000,2.000,4.000,4.000,
10.020,4.000,2.000,4.000,4.000,
10.030,4.000,2.000,4.000,4.000,
10.040,4.000,2.000,4.000,4.000,
10.050,4.000,2.000,4.000,4.000,
10.060,4.000,2.000,4.000,4.000,
10.070,4.000,2.000,4.000,4.000,
10.080,4.000,2.000,4.000,4.000,
10.090,4.000,2.000,4.000,4.000,
10.100,4.000,2.000,4.000,4.000,
10.110,4.000,2.000,4.000,4.000,
10.120,4.000,2.000,4.000,4.000,
10.130,4.000,2.000,4.000,4.000,
10.140,4.000,2.000,4.000,4.000,
10.150,4.000,2.000,4.000,4.000,
10.160,4.000,2.000,4.000,4.000,
10.170,4.000,2.000,4.000,4.000,
10.180,4.000,2.000,4.000,4.000,
10.190,4.000,4.000,4.000,4.000,
10.200,4.000,4.000,4.000,4.000,
10.210,4.000,4.000,4.000,4.000,
10.220,4.000,4.000,4.000,4.000,
10.230,4.000,4.000,4.000,4.000,
10.240,4.000,4.000,4.000,4.000,
10.250,4.000,4.000,4.000,4.000,
10.260,4.000,4.000,4.000,4.000,
10.270,4.000,4.000,4.000,4.000,
10.280,4.000,4.000,4.000,4.000,
10.290,4.000,4.000,4.000,4.000,
10.300,4.000,4.000,4.000,4.000,
10.310,4.000,4.000,4.000,4.000,
10.320,4.000,4.000,4.000,4.000,
10.330,4.000,4.000,4.000,4.000,
10.340,4.000,4.000,4.000,4.000,
10.350,4.000,4.000,4.000,4.000,
10.360,4.000,4.000,4.000,4.000,
10.370,4.000,4.000,4.000,4.000,
10.380,4.000,4.000,4.000,4.000,
10.390,4.000,4.000,4.000,4.000,
10.400,4.000,4.000,4.000,4.000,
10.410,4.000,4.000,4.000,4.000,
10.420,4.000,4.000,4.000,4.000,
10.430,4.000,4.000,4.000,4.000,
10.440,4.000,4.000,4.000,4.000,
10.450,4.000,4.000,4.000,4.000,
10.460,4.000,4.000,4.000,4.000,
10.470,4.000,4.000,4.000,4.000,
10.480,4.000,4.000,4.000,4.000,
10.490,4.000,4.000,4.000,4.000,
10.500,4.000,4.000,4.000,4.000,
10.510,4.000,4.000,4.000,4.000,
10.520,4.000,4.000,4.000,4.000,
10.530,4.000,4.000,4.000,4.000,
10.540,4.000,4.000,4.000,4.000,
10.550,4.000,4.000,4.000,4.000,
10.560,4.000,4.000,4.000,4.000,
10.570,4.000,4.000,4.000,4.000,
10.580,4.000,4.000,4.000,4.000,
10.590,4.000,4.000,4.000,4.000,
10.600,4.000,4.000,4.000,4.000,
10.610,4.000,4.000,4.000,4.000,
10.620,4.000,4.000,4.000,4.000,
10.630,4.000,4.000,4.000,4.000,
10.640,4.000,4.000,4.000,4.000,
10.650,4.000,4.000,4.000,4.000,
10.660,4.000,4.000,4.000,4.000,
10.670,4.000,4.000,4.000,4.000,
10.680,4.000,4.000,4.000,4.000,
10.690,4.000,4.000,4.000,4.000,
10.700,4.000,4.000,4.000,4.000,
10.710,4.000,4.000,4.000,4.000,
10.720,4.000,4.000,4.000,4.000,
10.730,4.000,4.000,4.000,4.000,
10.740,4.000,4.000,4.000,4.000,
10.750,4.000,4.000,4.000,4.000,
10.760,4.000,4.000,4.000,4.000,
10.770,4.000,4.000,4.000,4.000,
10.780,4.000,4.000,4.000,4.000,
10.790,4.000,4.000,4.000,5.000,
10.800,4.000,4.000,4.000,5.000,
10.810,4.000,4.000,4.000,5.000,
10.820,4.000,4.000,4.000,5.000,
10.830,5.000,4.000,4.000,5.000,
10.840,5.000,4.000,4.000,5.000,
10.850,5.000,4.000,4.000,5.000,
10.860,5.000,4.000,4.000,5.000,
10.870,5.000,4.000,4.000,5.000,
10.880,5.000,4.000,4.000,5.000,
10.890,5.000,4.000,5.000,5.000,
10.900,5.000,4.000,5.000,5.000,
10.910,5.000,4.000,5.000,5.000,
10.920,5.000,4.000,5.000,5.000,
10.930,5.000,4.000,5.000,5.000,
10.940,5.000,4.000,5.000,5.000,
10.950,5.000,4.000,5.000,5.000,
10.960,5.000,4.000,5.000,5.000,
10.970,5.000,4.000,5.000,5.000,
10.980,5.000,4.000,5.000,5.000,
10.990,5.000,4.000,5.000,5.000,
11.000,5.000,4.000,5.000,5.000,
11.010,5.000,4.000,5.000,5.000,
11.020,5.000,4.000,5.000,5.000,
11.030,5.000,4.000,5.000,5.000,
11.040,5.000,4.000,5.000,5.000,
11.050,5.000,4.000,5.000,5.000,
11.060,5.000,4.000,5.000,5.000,
11.070,5.000,4.000,5.000,5.000,
11.080,5.000,4.000,5.000,5.000,
11.090,5.000,4.000,5.000,5.000,
11.100,5.000,4.000,5.000,5.000,
11.110,5.000,4.000,5.000,5.000,
11.120,5.000,4.000,5.000,5.000,
11.130,5.000,4.000,5.000,5.000,
11.140,5.000,4.000,5.000,5.000,
11.150,5.000,4.000,5.000,5.000,
11.160,5.000,4.000,5.000,5.000,
11.170,5.000,4.000,5.000,5.000,
11.180,5.000,4.000,5.000,5.000,
11.190,5.000,4.000,5.000,5.000,
11.200,5.000,4.000,5.000,5.000,
11.210,5.000,4.000,5.000,5.000,
11.220,5.000,4.000,5.000,5.000,
11.230,5.000,4.000,5.000,5.000,
11.240,5.000,4.000,5.000,5.000,
11.250,5.000,4.000,5.000,5.000,
11.260,5.000,4.000,5.000,5.000,
11.270,5.000,4.000,5.000,5.000,
11.280,5.000,4.000,5.000,5.000,
11.290,5.000,4.000,5.000,5.000,
11.300,5.000,4.000,5.000,5.000,
11.310,5.000,4.000,5.000,5.000,
11.320,5.000,4.000,5.000,5.000,
11.330,5.000,4.000,5.000,5.000,
11.340,5.000,4.000,5.000,5.000,
11.350,5.000,4.000,5.000,5.000,
11.360,5.000,4.000,5.000,5.000,
11.370,5.000,4.000,5.000,5.000,
11.380,5.000,4.000,5.000,5.000,
11.390,5.000,4.000,5.000,5.000,
11.400,5.000,4.000,5.000,5.000,
11.410,5.000,4.000,5.000,5.000,
11.420,5.000,4.000,5.000,5.000,
11.430,5.000,4.000,5.000,5.000,
11.440,5.000,4.000,5.000,5.000,
11.450,5.000,4.000,5.000,5.000,
11.460,5.000,4.000,5.000,5.000,
11.470,5.000,4.000,5.000,5.000,
11.480,5.000,4.000,5.000,5.000,
11.490,5.000,4.000,5.000,5.000,
11.500,5.000,4.000,5.000,5.000,
11.510,5.000,4.000,5.000,5.000,
11.520,5.000,4.000,5.000,5.000,
11.530,5.000,4.000,5.000,5.000,
11.540,5.000,4.000,5.000,5.000,
11.550,5.000,4.000,5.000,5.000,
11.560,5.000,4.000,5.000,5.000,
11.570,5.000,4.000,5.000,5.000,
11.580,5.000,4.000,5.000,5.000,
11.590,5.000,4.000,5.000,5.000,
11.600,5.000,4.000,5.000,5.000,
11.610,5.000,4.000,5.000,5.000,
11.620,5.000,4.000,5.000,5.000,
11.630,5.000,4.000,5.000,5.000,
11.640,5.000,4.000,5.000,5.000,
11.650,5.000,4.000,5.000,5.000,
11.660,5.000,4.000,5.000,5.000,
11.670,5.000,4.000,5.000,5.000,
11.680,5.000,4.000,5.000,5.000,
11.690,5.000,4.000,5.000,5.000,
11.700,5.000,4.000,5.000,5.000,
11.710,5.000,4.000,5.000,5.000,
11.720,5.000,4.000,5.000,5.000,
11.730,5.000,4.000,5.000,5.000,
11.740,5.000,4.000,5.000,5.000,
11.750,5.000,4.000,5.000,5.000,
11.760,5.000,4.000,5.000,5.000,
11.770,5.000,4.000,5.000,5.000,
11.780,5.000,4.000,5.000,5.000,
11.790,5.000,4.000,5.000,5.000,
11.800,5.000,4.000,5.000,5.000,
11.810,5.000,4.000,5.000,5.000,
11.820,5.000,4.000,5.000,5.000,
11.830,5.000,4.000,5.000,5.000,
11.840,5.000,4.000,5.000,5.000,
11.850,5.000,4.000,5.000,5.000,
11.860,5.000,4.000,5.000,5.000,
11.870,5.000,5.000,5.000,5.000,
11.880,5.000,5.000,4.000,5.000,
11.890,5.000,5.000,4.000,5.000,
11.900,5.000,5.000,4.000,5.000,
11.910,5.000,5.000,4.000,5.000,
11.920,5.000,5.000,4.000,5.000,
11.930,5.000,5.000,4.000,5.000,
11.940,5.000,5.000,4.000,5.000,
11.950,5.000,5.000,4.000,5.000,
11.960,5.000,5.000,4.000,5.000,
11.970,5.000,5.000,4.000,5.000,
11.980,5.000,5.000,4.000,5.000,
11.990,5.000,5.000,4.000,5.000,
12.000,5.000,5.000,4.000,5.000,
12.010,5.000,5.000,7.000,5.000,
12.020,5.000,5.000,3.000,5.000,
12.030,5.000,5.000,3.000,5.000,
12.040,5.000,5.000,3.000,5.000,
12.050,5.000,5.000,3.000,5.000,
12.060,4.000,5.000,3.000,5.000,
12.070,7.000,5.000,3.000,4.000,
12.080,7.000,5.000,3.000,4.000,
12.090,7.000,5.000,3.000,4.000,
12.100,7.000,5.000,3.000,4.000,
12.110,7.000,5.000,3.000,4.000,
12.120,7.000,5.000,3.000,3.000,
12.130,7.000,5.000,3.000,3.000,
12.140,3.000,5.000,3.000,3.000,
12.150,3.000,5.000,3.000,3.000,
12.160,3.000,5.000,3.000,3.000,
12.170,3.000,5.000,3.000,3.000,
12.180,3.000,5.000,3.000,3.000,
12.190,3.000,5.000,3.000,3.000,
12.200,3.000,5.000,3.000,3.000,
12.210,3.000,5.000,3.000,3.000,
12.220,3.000,5.000,3.000,3.000,
12.230,3.000,5.000,3.000,3.000,
12.240,3.000,5.000,3.000,3.000,
12.250,3.000,5.000,3.000,3.000,
12.260,3.000,5.000,3.000,3.000,
12.270,3.000,5.000,3.000,3.000,
12.280,3.000,5.000,3.000,3.000,
12.290,3.000,5.000,3.000,3.000,
12.300,3.000,5.000,3.000,3.000,
12.310,3.000,5.000,3.000,3.000,
12.320,3.000,5.000,3.000,3.000,
12.330,3.000,5.000,3.000,3.000,
12.340,3.000,5.000,3.000,3.000,
12.350,3.000,5.000,3.000,3.000,
12.360,3.000,5.000,3.000,3.000,
12.370,3.000,5.000,3.000,3.000,
12.380,3.000,5.000,3.000,3.000,
12.390,3.000,5.000,3.000,3.000,
12.400,3.000,5.000,3.000,3.000,
12.410,3.000,5.000,3.000,3.000,
12.420,3.000,5.000,3.000,3.000,
12.430,3.000,5.000,3.000,3.000,
12.440,3.000,5.000,3.000,3.000,
12.450,3.000,5.000,3.000,3.000,
12.460,3.000,5.000,3.000,3.000,
12.470,3.000,5.000,3.000,3.000,
12.480,3.000,5.000,3.000,3.000,
12.490,3.000,5.000,3.000,3.000,
12.500,3.000,5.000,3.000,3.000,
12.510,3.000,5.000,3.000,3.000,
12.520,3.000,5.000,3.000,3.000,
12.530,3.000,5.000,3.000,3.000,
12.540,3.000,5.000,3.000,3.000,
12.550,3.000,5.000,3.000,3.000,
12.560,3.000,5.000,3.000,3.000,
12.570,3.000,5.000,3.000,3.000,
12.580,3.000,5.000,3.000,3.000,
12.590,3.000,5.000,3.000,3.000,
12.600,3.000,5.000,3.000,3.000,
12.610,3.000,5.000,3.000,3.000,
12.620,3.000,5.000,3.000,3.000,
12.630,3.000,5.000,3.000,3.000,
12.640,3.000,5.000,3.000,3.000,
12.650,3.000,5.000,3.000,3.000,
12.660,3.000,5.000,3.000,3.000,
12.670,3.000,5.000,3.000,3.000,
12.680,3.000,5.000,3.000,3.000,
12.690,3.000,5.000,3.000,3.000,
12.700,3.000,5.000,3.000,3.000,
12.710,3.000,5.000,3.000,3.000,
12.720,3.000,5.000,3.000,3.000,
12.730,3.000,5.000,3.000,3.000,
12.740,3.000,5.000,3.000,3.000,
12.750,3.000,5.000,3.000,3.000,
12.760,3.000,5.000,3.000,3.000,
12.770,3.000,5.000,3.000,3.000,
12.780,3.000,5.000,3.000,3.000,
12.790,3.000,5.000,3.000,3.000,
12.800,3.000,5.000,3.000,3.000,
12.810,3.000,5.000,3.000,3.000,
12.820,3.000,5.000,3.000,3.000,
12.830,3.000,5.000,3.000,3.000,
12.840,3.000,5.000,3.000,3.000,
12.850,3.000,5.000,3.000,3.000,
12.860,3.000,5.000,3.000,3.000,
12.870,3.000,5.000,3.000,3.000,
12.880,3.000,5.000,3.000,3.000,
12.890,3.000,5.000,3.000,3.000,
12.900,3.000,5.000,3.000,3.000,
12.910,3.000,5.000,3.000,3.000,
12.920,3.000,5.000,3.000,3.000,
12.930,3.000,5.000,3.000,3.000,
12.940,3.000,5.000,3.000,3.000,
12.950,3.000,5.000,3.000,3.000,
12.960,3.000,5.000,3.000,3.000,
12.970,3.000,5.000,3.000,3.000,
12.980,3.000,5.000,3.000,3.000,
12.990,3.000,5.000,3.000,3.000,
13.000,3.000,5.000,3.000,3.000,
13.010,3.000,5.000,3.000,3.000,
13.020,3.000,5.000,3.000,3.000,
13.030,3.000,5.000,3.000,3.000,
13.040,3.000,5.000,3.000,3.000,
13.050,3.000,7.000,3.000,3.000,
13.060,3.000,7.000,3.000,3.000,
13.070,3.000,7.000,3.000,3.000,
13.080,3.000,7.000,3.000,3.000,
13.090,3.000,7.000,3.000,3.000,
13.100,3.000,7.000,3.000,3.000,
13.110,3.000,7.000,3.000,3.000,
13.120,3.000,7.000,3.000,3.000,
13.130,3.000,7.000,3.000,3.000,
13.140,3.000,7.000,3.000,3.000,
13.150,3.000,7.000,3.000,3.000,
13.160,3.000,7.000,3.000,3.000,
13.170,3.000,7.000,3.000,3.000,
13.180,3.000,7.000,3.000,3.000,
