Time,Colour_p4_01,Colour_p4_02,Colour_p4_03
0.000,5.000,1.000,1.000,
0.010,5.000,1.000,1.000,
0.020,5.000,1.000,1.000,
0.030,5.000,1.000,5.000,
0.040,5.000,5.000,1.000,
0.050,5.000,5.000,5.000,
0.060,5.000,1.000,1.000,
0.070,0.000,1.000,1.000,
0.080,1.000,1.000,1.000,
0.090,1.000,5.000,1.000,
0.100,1.000,5.000,5.000,
0.110,1.000,5.000,1.000,
0.120,1.000,1.000,5.000,
0.130,5.000,5.000,5.000,
0.140,1.000,5.000,5.000,
0.150,1.000,5.000,1.000,
0.160,1.000,1.000,1.000,
0.170,5.000,5.000,1.000,
0.180,5.000,1.000,1.000,
0.190,5.000,1.000,1.000,
0.200,5.000,5.000,1.000,
0.210,1.000,5.000,1.000,
0.220,5.000,1.000,1.000,
0.230,5.000,1.000,1.000,
0.240,5.000,1.000,1.000,
0.250,5.000,1.000,1.000,
0.260,5.000,1.000,1.000,
0.270,5.000,1.000,5.000,
0.280,1.000,1.000,5.000,
0.290,5.000,1.000,5.000,
0.300,5.000,1.000,5.000,
0.310,5.000,5.000,1.000,
0.320,5.000,5.000,5.000,
0.330,1.000,5.000,1.000,
0.340,5.000,1.000,1.000,
0.350,5.000,1.000,5.000,
0.360,1.000,5.000,1.000,
0.370,1.000,1.000,1.000,
0.380,5.000,5.000,5.000,
0.390,5.000,5.000,1.000,
0.400,5.000,5.000,1.000,
0.410,1.000,5.000,5.000,
0.420,1.000,5.000,5.000,
0.430,1.000,5.000,1.000,
0.440,5.000,1.000,1.000,
0.450,1.000,5.000,1.000,
0.460,5.000,5.000,5.000,
0.470,5.000,5.000,5.000,
0.480,5.000,5.000,5.000,
0.490,5.000,5.000,5.000,
0.500,5.000,1.000,1.000,
0.510,1.000,1.000,5.000,
0.520,5.000,5.000,5.000,
0.530,5.000,5.000,1.000,
0.540,1.000,1.000,1.000,
0.550,1.000,5.000,5.000,
0.560,5.000,5.000,5.000,
0.570,5.000,5.000,5.000,
0.580,5.000,5.000,1.000,
0.590,1.000,5.000,1.000,
0.600,1.000,1.000,1.000,
0.610,5.000,1.000,1.000,
0.620,5.000,1.000,1.000,
0.630,5.000,1.000,5.000,
0.640,1.000,1.000,1.000,
0.650,1.000,1.000,1.000,
0.660,5.000,1.000,5.000,
0.670,5.000,5.000,5.000,
0.680,5.000,5.000,1.000,
0.690,5.000,5.000,1.000,
0.700,1.000,1.000,5.000,
0.710,5.000,1.000,5.000,
0.720,1.000,5.000,1.000,
0.730,1.000,5.000,5.000,
0.740,1.000,1.000,1.000,
0.750,1.000,1.000,5.000,
0.760,5.000,5.000,5.000,
0.770,5.000,5.000,1.000,
0.780,5.000,1.000,5.000,
0.790,5.000,5.000,1.000,
0.800,5.000,5.000,5.000,
0.810,5.000,1.000,1.000,
0.820,1.000,5.000,5.000,
0.830,1.000,5.000,1.000,
0.840,1.000,5.000,1.000,
0.850,5.000,5.000,1.000,
